フィーチャID,形状(WKT),ルートID,名称,問い合わせ先,ホームページ,期間開始日時,期間終了日時,作成者,作成日時,更新者,更新日時
127,POINT(137.396682500839 35.0378149343238),rt0502-5,香恋の館,0565-90-4120,http://www.karennosato.com/yakata/index01.html,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/28 10:51:08
128,POINT(137.50278532505 35.213780185194),rt0503-3,どんぐり横丁,0536-82-3666,http://www.dongurinosato.com,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/28 10:57:56
129,POINT(137.485828399658 35.2547311524039),rt0503-4,押川大滝,いなぶ観光協会 0536-86-3200,https://www.inabu-kankou.com/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/29 15:22:10
130,POINT(137.503252029419 35.2142447567416),rt0503-2,稲武どんぐり工房,0565-83-3200,http://www.inabu-kankou.com/dongurikobo/thismonth,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/28 10:57:46
131,POINT(137.463512420654 35.1970713736228),rt0503-6,木材需要促進センター「モッキー」,0565-83-3200 ,https://www.inabu-kankou.com/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/08/16 15:50:23
132,POINT(137.464933991432 35.1968697247882),rt0503-5,郷土資料館「ちゅーま」,0565-82-3439,https://www.tourismtoyota.jp/spots/detail/90/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/29 15:25:02
133,POINT(137.507924437523 35.2145121033138),rt0503-1,古橋懐古館,0536-82-2100,http://furuhashikai.com/kaikokan_top/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/28 11:00:50
134,POINT(137.170993717769 35.2011664913185),rt0504-3,猿投山と菊石,豊田市観光協会（ツーリズムとよた） 0565-85-7777,http://www.citytoyota-kankou-jp.org/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/16 10:45:13
135,POINT(137.29224366849 35.2754970818036),rt0504-2,大福魚苑,0565-65-2648,https://www.kankou-obara.toyota.aichi.jp/place/177/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/08/15 15:49:17
136,POINT(137.293664216995 35.2377153067552),rt0504-1,和紙のふるさと,0565-65-2151,http://washinofurusato.jp/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/30 14:24:29
137,POINT(137.087939689485 35.0928135577047),rt0504-6,三好公園,みよし市役所　公園緑地課  0561-32-2111,http://www.city.aichi-miyoshi.lg.jp/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/16 10:55:19
138,POINT(137.076534032822 35.0826210811113),rt0504-5,保田ケ池公園,みよし市役所　公園緑地課 0561-32-2111,https://www.city.aichi-miyoshi.lg.jp/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/28 11:10:19
139,POINT(137.09064308794 35.0752638403375),rt0504-4,緑と花のセンター「さんさんの郷」,0561-34-6111,https://www.city.aichi-miyoshi.lg.jp/midori/sansansisetuannai.html,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/16 10:58:54
140,POINT(137.39944839395 35.1972379013495),rt0505-1,つくば工房,0565-68-2611,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/08/15 15:53:21
141,POINT(137.325335741043 35.1980357741706),rt0505-5,お須原山縁結び岩,旭観光協会 0565-68-3653,http://www.kankou-asahi.toyota.aichi.jp/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/29 15:34:31
142,POINT(137.360609403121 35.2034000795943),rt0505-4,貞観杉,旭観光協会 0565-68-3653,http://www.kankou-asahi.toyota.aichi.jp/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/16 11:03:55
143,POINT(137.383604049683 35.2431087174813),rt0505-3,時瀬大いちょう,旭観光協会 0565-68-3653,http://www.kankou-asahi.toyota.aichi.jp/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2023/03/30 11:58:15
144,POINT(137.406955361366 35.217921790565),rt0505-2,旭高原元気村,0565-68-2755,http://www.asahikougen.co.jp/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/29 15:36:35
145,POINT(137.240331172943 35.0345426482941),rt0506-1,二畳ケ滝,豊田市観光協会（ツーリズムとよた） 0565-85-7777,https://www.tourismtoyota.jp/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/29 15:37:51
146,POINT(137.197313904762 35.0874102477798),rt0506-3,自然観察の森,0565-88-1310,https://toyota-shizen.org/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/30 14:28:30
147,POINT(137.231072187424 35.055865055944),rt0506-2,滝川ふれあい工房,0565-58-3771,http://www.toyota.or.jp/news2004/takigawa.htm,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/28 11:12:19
148,POINT(137.151741728857 35.0804070532837),rt0506-4,七州城址公園・豊田市美術館,豊田市美術館 0565-34-6610,https://www.museum.toyota.aichi.jp/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2023/02/14 09:53:36
149,POINT(137.555480003357 34.9970755225206),rt0601-2,山びこの丘,0563-35-1191,http://www.sanyurin.jp/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/30 14:30:43
150,POINT(137.568526083091 35.0502645387647),rt0601-1,新城市四谷地区,新城市観光協会鳳来支部 0536-32-0022,http://shinshirokankou.com/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/08/15 16:04:18
151,POINT(137.578665018082 34.9723706981741),rt0601-3,鳳来寺山自然科学博物館,0536-35-1001,https://www.city.shinshiro.lg.jp/mokuteki/shisetu/shiryokan/houraijisan/yokoso.html,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/30 14:32:54
152,POINT(137.615904257179 34.9741771980482),rt0601-4,鳳来ゆーゆーありいな,0536-32-2212,http://www.sanyurin.jp/yuyu/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/08/15 16:05:23
153,POINT(137.420641678522 34.9631856588179),rt0602-1,つくで手作り村（味彩館、山家市）,0563-37-2772,http://www.city.shinshiro.lg.jp/mokuteki/shisetu/michinoeki/tedukurimura.html,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/16 11:29:39
154,POINT(137.421418069277 34.9628324571347),rt0602-2,つくで手作り村（勇気工房）,"",http://www.tsukude.com/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/08/15 16:06:45
155,POINT(137.42230289258 34.9621364613767),rt0602-4,つくで手作り村（とんちん館）,0563-37-2772,http://www.tsukude.com/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/08/15 16:07:15
157,POINT(137.423337305589 34.9637659512943),rt0602-3,歴史の小径（亀山城趾等）,新城市教育委員会生涯共育課 0563-23-7639, https://www.city.shinshiro.lg.jp/ ,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/16 11:34:59
158,POINT(137.665754544766 35.0981401499034),rt0603-3,振草農産物生産直売組合,0536-78-5108,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/08/15 16:09:09
159,POINT(137.706688556705 35.0748516376287),rt0603-2,とうえい温泉,0536-77-0268,https://toueionsen.com/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/08/15 16:09:36
160,POINT(137.69821977791 35.1435610631714),rt0603-4,湯～らんどパルとよね,0536-85-1180,http://www.chausuyama.jp/spot/2014022514193914.html,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/08/15 16:10:07
161,POINT(137.721236390272 35.0468410352361),rt0603-1,愛知東農業　東栄直売所,0536-79-3343,https://www.okuminavi.jp/search/detail.php?id=592,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/16 11:51:37
162,POINT(137.655558586121 35.2276548268825),rt0604-3,茶臼山高原,茶臼山観光協会 0536-87-2345,http://www.chausuyama.jp/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/16 11:54:41
163,POINT(137.605535387993 35.1996664617751),rt0604-2,道の駅つぐ高原グリーンパーク,0536-83-2344,http://www.green-park.net/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/16 11:57:11
164,POINT(137.534623146057 35.1728699397216),rt0604-1,道の駅アグリステーションなぐら,0536-65-0888,http://aguristationnagura.jimdofree.com/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/28 11:40:54
165,POINT(137.062195079066 34.6282092729262),rt0701-3,キャベツ畑,渥美半島観光ビューロー 0531-23-3516,https://www.taharakankou.gr.jp/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/08/15 16:16:52
166,POINT(137.208344257864 34.6155082774551),rt0701-6,愛知みなみ農協ふれあい広場赤羽根店,0531-45-3135,https://www.taharakankou.gr.jp/spot/000302.html,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/08/15 16:17:46
167,POINT(137.200682759285 34.6433901105669),rt0701-2,サンテパルクたはら,0531-25-1234,http://santepark.com/,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2022/11/21 13:28:07
168,POINT(137.060590982437 34.5952133528149),rt0701-5,初立池公園,田原市役所（農政課） 0531-22-1111,http://www.city.tahara.aichi.jp/,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2022/11/16 15:40:36
169,POINT(137.269116640091 34.6736645032321),rt0701-1,田原城跡・田原市博物館,田原市博物館 0531-22-1720,http://www.taharamuseum.gr.jp/,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2022/11/16 15:41:48
170,POINT(137.016248703003 34.5793940858241),rt0701-4/rt0705-6,伊良湖岬灯台・恋路が浜・日出の石門,渥美半島観光ビューロー 0531-23-3516,https://www.taharakankou.gr.jp/,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2023/02/14 10:47:46
171,POINT(137.231699824333 34.8110638281189),rt0702-5,竹島,蒲郡市観光協会 0533-68-2526,http://www.gamagori.jp/spot/750,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2022/11/16 15:48:44
172,POINT(137.20106601996 34.8147545680755),rt0702-3,蒲郡海鮮市場,0533-68-7879,https://www.g-kaisenichiba.com/,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2022/11/16 15:49:58
173,POINT(137.240722775459 34.8546205970605),rt0702-2,蒲郡オレンジパーク,0533-68-2321,http://www.orepa.jp/,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2022/11/28 11:57:38
174,POINT(137.225412318993 34.819433053181),rt0702-4,手織り三河木綿工房,三河木綿工房・手織場（てばたば） 0533-68-5771,http://www.city.gamagori.lg.jp/unit/sangyo/tebataba.html,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2022/11/30 14:53:55
175,POINT(137.263182448288 34.8304793653782),rt0702-1,とよおか湖公園,蒲郡市役所（産業振興部農林水産課） 0533-66-1124,https://www.city.gamagori.lg.jp/site/nougyou/t-kouen.html,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2022/11/16 15:57:12
177,POINT(137.458325028419 34.7255918915809),rt0703-4,産直プラザ二川,0532-41-0527,https://www.ja-toyohashi.com/,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2022/11/16 16:00:36
178,POINT(137.392197847366 34.7680524893928),rt0703-2,豊橋市公会堂,0532-51-3077 ,http://www.bunzai.or.jp/publichall/,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2022/11/16 16:03:36
179,POINT(137.393076523253 34.7706186048402),rt0703-1,吉田城,豊橋市役所産業部 観光プロモーション課 0532-51-2430,https://www.city.toyohashi.lg.jp/48101.htm,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2022/11/16 16:05:49
180,POINT(137.449902892113 34.7234094276546),rt0703-5,二川宿本陣（ふたがわしゅくほんじん）資料館,0532-41-8580,http://futagawa-honjin.jp/,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2022/11/16 16:08:17
181,POINT(137.354357242584 34.8555978501349),rt0704-4,四季の森,0533-88-7270,http://www.city.toyokawa.lg.jp/shisetsu/fukushiiryo/yuainosato.html,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2022/11/16 16:12:58
182,POINT(137.310076459795 34.857288685997),rt0704-3,グリーンセンター音羽（ぺったん工房）,0533-88-6600,https://ja-himawari.com/,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2022/11/16 16:16:37
183,POINT(137.42701292038 34.8779394421041),rt0704-5,本宮の湯,0533-92-1880,https://www.honguu-no-yu.com/,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2022/11/21 13:09:01
184,POINT(137.368552861856 34.7987345625156),rt0704-1,五社稲荷社朝市,五社稲荷社 0533-72-3062,"","","",システム管理者,2015/01/26 15:48:16,システム管理者,2022/08/16 09:21:44
185,POINT(137.312101721764 34.8517592037389),rt0704-2,御油（ごゆ）の松並木,豊川市観光協会 0533-89-2206　,http://www.toyokawa-map.net/,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2022/11/30 16:02:30
186,POINT(137.322041988373 34.7887569468268),rt0705-3,三河臨海緑地「日本列島」,愛知県 建設局 三河港務所 0532-31-4155,http://www.pref.aichi.jp/soshiki/mikawa-komu/,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2023/03/30 15:43:07
187,POINT(137.190265059471 34.7956249729805),rt0705-2,ブルーブリッジ（形原漁港大橋）,愛知県三河港務所蒲郡出張所,http://www.pref.aichi.jp/soshiki/mikawa-komu/ ,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2022/11/30 16:05:36
188,POINT(137.101253271103 34.6256333452442),rt0705-5,愛知みなみ農協　ふれあい広場 渥美店,0531-32-1151,http://www.ja-aichiminami.jp/store/,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2022/11/21 13:23:53
189,POINT(137.262046337128 34.6848254217722),rt0705-4,蔵王山（ざおうさん）展望台,0531-22-0426,http://www.zao3.net/,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2022/11/30 16:08:33
190,POINT(137.177571142614 34.7805649072274),rt0705-1,西浦鮮魚マーケット,蒲郡漁業協同組合　西浦支所 0533-57-6155,http://gamagori-gyokyo.com/index.html,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2022/08/16 09:28:32
191,POINT(137.476892860563 34.8959398529879),rt0605-1,グリーンセンターしんしろ,0536-23-7560,http://www.ja-aichihigashi.com/sanchoku/,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2022/08/16 09:29:34
192,POINT(137.528234124184 34.9186677260448),rt0605-2,新城市設楽原歴史資料館,0536-22-0673,https://www.city.shinshiro.lg.jp/mokuteki/shisetu/shiryokan/shitaragabara/yokoso.html,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2022/11/30 16:14:42
193,POINT(137.55511935262 34.9250131287147),rt0605-3,こんたく長篠,0536-32-0002,http://www.ja-aichihigashi.com/sanchoku/,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2022/08/16 09:32:11
194,POINT(137.559476494789 34.9233169539595),rt0605-4,長篠城址（長篠城址史跡保存館）,長篠城址史跡保存館 0536-32-0162,https://www.city.shinshiro.lg.jp/,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2022/11/30 16:17:29
195,POINT(137.586153745651 34.9787267165086),rt0605-5,鳳来寺山,新城市 教育部 生涯共育課 設楽原歴史資料館 0536-22-0673,https://www.city.shinshiro.lg.jp/kanko/meisyo/horaijisan.html,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2023/01/26 11:51:37
196,POINT(137.534718496101 35.055005315068),rt0605-6,田峯城址（歴史の里　田峯城址）,0536-64-5505 ,https://www.kankoshitara.jp/,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2022/11/21 14:06:49
197,POINT(137.663969993591 35.019136986005),rt0606-1,乳岩峡,新城市 教育部 生涯共育課 設楽原歴史資料館 0536-22-0673,https://www.city.shinshiro.lg.jp/kanko/meisyo/chiiwa.html,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2022/11/22 13:43:16
198,POINT(137.623060941696 35.0053410298377),rt0606-2,愛知県民の森,0536-32-1262　, http://www.aichi-park.or.jp/kenmin/index.html ,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2022/11/29 11:13:29
199,POINT(137.613533735275 34.9702519157841),rt0606-3,湯谷温泉,（要）各旅館,http://www.city.shinshiro.lg.jp/kanko/onsen/yuya-onsen.html,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2022/11/21 14:15:21
201,POINT(136.96177987132 35.0214594414225),rt0311-1,収穫体験〔ぶどう狩り〕,大府市観光協会 0562-45-6277 東浦町観光協会 0562-83-6118,http://www.obu-kankou.gr.jp/ https://higashiura.or.jp/kanko/,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2022/11/21 14:18:49
202,POINT(136.884799003601 35.0153499202141),rt0312-1,東海フラワーショウ,"東海市環境経済部農務課 052-603-2211,0562-33-1111",http://www.city.tokai.aichi.jp/,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2022/11/21 14:21:34
203,POINT(136.983751058578 34.9886158055698),rt0406-1,刈谷市亀城公園,刈谷市観光協会（刈谷市役所文化観光課内） 0566-23-4100,https://www.kariya-guide.com/,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2023/02/13 11:47:30
204,POINT(136.980884348794 34.8739810592314),rt0406-2,伝統食品工場見学 [九重みりん時代館・九重味淋大蔵],碧南市観光協会  0566-95-9894,https://www.hekinan-kanko.jp/,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2023/02/13 11:48:21
205,POINT(136.977085768196 34.865699506293),rt0406-2,伝統食品工場見学 [株式会社　角谷文次郎商店],碧南市観光協会 0566-95-9894,https://www.hekinan-kanko.jp/,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2023/02/13 11:48:41
207,POINT(136.986433607804 34.9025034983823),rt0406-2,伝統食品工場見学 ［七福醸造㈱ありがとうの里］,碧南市観光協会 0566-95-9894,https://www.hekinan-kanko.jp/,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2023/02/13 11:48:12
208,POINT(136.982864443962 34.8837201606711),rt0406-2,伝統食品工場見学 [スギ製菓　株式会社　工場],碧南市観光協会 0566-95-9894,https://www.hekinan-kanko.jp/,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2023/02/13 11:47:52
209,POINT(136.968811154366 34.850781905068),rt0406-3,碧南市農業活性化センターあおいパーク,0566-43-0511,http://www.city.hekinan.lg.jp/aoi_park/,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2023/02/13 11:49:16
210,POINT(136.972979307175 34.8459128477311),rt0406-4,前浜新田の松並木,碧南市役所　都市整備課 0566-95-9909,http://www.city.hekinan.aichi.jp/index.html,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2023/02/13 11:49:45
211,POINT(137.055136027339 35.0033263485319),rt0407-1,旧東海道「池鯉鮒」の松並木,知立市観光協会（知立市役所経済課内） 0566-83-1111（内線211・212）,https://www.city.chiryu.aichi.jp/,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2023/02/13 11:50:16
212,POINT(137.09993715182 34.9865918238722),rt0407-2,明治用水（明治川神社から中井筋）,明治用水土地改良区 (明治用水会館内) 0566-76-6241,http://www.midorinet-meiji.jp/,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2023/02/13 11:50:33
213,POINT(137.06082701683 34.9308466488881),rt0407-4/rt0408-1,安城市デンパーク,財団法人安城都市農業振興協会 0566-92-7111,https://denpark.jp/,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2023/02/13 11:51:21
214,POINT(137.070203639262 34.9444547755918),rt0407-3/rt0408-2,都市に広がる集団農地,安城市役所経済環境部農務課農政係 0566-76-1111(代表),https://www.city.anjo.aichi.jp/soshiki/sangyoshinkoubu/nomu.html,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2023/02/13 11:50:58
215,POINT(137.120738592708 35.0053070622037),rt0408-4,明治緑道水車公園の三連水車,明治用水土地改良区 (明治用水会館内) 0566-76-6241,http://www.midorinet-meiji.jp/,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2023/02/13 11:51:55
216,POINT(137.08305532389 34.9672897704579),rt0408-3,明治用水（明治用水歴史資料室・豊田安城自転車道）,明治用水土地改良区 (明治用水会館内) 0566-76-6241,http://www.midorinet-meiji.jp/,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2023/02/13 11:51:40
217,POINT(137.645602226257 34.9502570553309),rt0606-4,阿寺の七滝,新城市観光協会 0536-29-0829,https://www.okuminavi.jp/search/detail.php?id=172,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2022/11/22 09:43:51
218,POINT(137.45151758194 34.7451389077403),rt0703-3,葦毛湿原,豊橋市役所都市計画部 公園緑地課 0532-51-2650 ,https://www.city.toyohashi.lg.jp/11578.htm,"","",システム管理者,2015/01/26 15:48:16,システム管理者,2022/11/22 09:46:09
219,POINT(137.371072769165 34.940125871264),rt0409-2,産地問屋宮ザキ園,0564-83-2710,"","","",システム管理者,2022/12/12 11:30:43,システム管理者,2023/02/13 11:52:58
220,POINT(137.377080917358 34.9474429631036),rt0409-3,カフェ柚子木,0564-83-2069,"","","",システム管理者,2022/12/12 11:33:26,システム管理者,2023/02/13 11:53:21
221,POINT(137.37669467926 34.9473814037565),rt0409-4,ぬかた体験村,0564-83-2069,"","","",システム管理者,2022/12/12 11:35:44,システム管理者,2023/02/13 11:53:38
222,POINT(137.321044206619 34.9859173015426),rt0409-5,日近の里・かおれ渓谷,0564-84-2040,"","","",システム管理者,2022/12/12 11:38:22,システム管理者,2023/02/13 11:53:57
223,POINT(137.306871879371 35.0117951571514),rt0409-6,合資会社柴田酒造場,0564-84-2007,"","","",システム管理者,2022/12/12 11:39:30,システム管理者,2023/02/13 11:54:26
224,POINT(137.04805970192 34.8666901793145),rt0402-2,西尾市歴史公園,西尾市観光協会 0563-57-7882,http://nishiokanko.com/,"","",システム管理者,2022/12/26 10:35:31,システム管理者,2023/02/13 11:41:23
225,POINT(137.079677581787 34.8431480106293),rt0402-3,赤馬の径,西尾市観光協会 0563-57-7882,http://nishiokanko.com/,"","",システム管理者,2022/12/26 10:52:42,システム管理者,2023/02/13 11:41:46
226,POINT(137.051543449569 34.8361201742464),rt0402-4,西尾市憩の農園,0563-56-8168,https://life.ja-group.jp/farm/market/detail?id=1396,"","",システム管理者,2022/12/26 10:59:22,システム管理者,2023/02/13 11:42:25
227,POINT(136.867868900299 35.3415771717727),rt0108-1,愛知北地域の新鮮野菜市,岩倉市役所 0587-66-1111 ,"","","",システム管理者,2022/12/26 15:03:22,システム管理者,2023/01/27 11:13:32
228,POINT(136.851293208552 34.9130917783342),rt0308-2,前山ダム,環境経済部　農業水産課 0569-35-5111,http://www.city.tokoname.aichi.jp/kurashi/sportspark/1001010/1001015.html,"","",システム管理者,2022/12/27 10:21:53,システム管理者,""
229,POINT(136.862797287656 34.8163010063968),rt0309-1,知多半島の潮干狩り（常滑市）,常滑市観光協会坂井支部 0569-37-0922,http://www.tokoname-kankou.net/,"","",システム管理者,2022/12/27 10:33:07,システム管理者,2022/12/27 10:35:05
230,POINT(137.312986850738 35.1311230797319),rt0501-3,花もみじ,0565-62-0053,"","","",システム管理者,2022/12/28 13:27:56,システム管理者,2022/12/28 13:28:33
231,POINT(136.996051669121 34.9058183009205),rt0406-2,伝統食品工場見学 ［ヤマシン㈱白しょうゆ醸造工場］,碧南市観光協会 0566-95-9894,http://www.hekinan-kanko.jp/,"","",システム管理者,2023/02/09 15:15:19,システム管理者,2023/02/13 11:48:52
