フィーチャID,形状(WKT),データID,データ名,特色、概要,問い合わせ先,問い合わせ電話番号,問い合わせホームページ,期間開始日時,期間終了日時,作成者,作成日時,更新者,更新日時
85,POINT(137.36049413681 35.2033310058581),da050125,貞観杉,1000年以上、森を見守り続けてきた森の神様に会いに行こう。,旭観光協会,0565-68-3653,http://www.kankou-asahi.toyota.aichi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/26 11:33:17
86,POINT(137.383614778519 35.2429904255612),da050126,時瀬大いちょう,県下最大の大いちょう。３００年の歴史を感じてみませんか。,旭観光協会,0565-68-3653,http://www.kankou-asahi.toyota.aichi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/03/30 11:59:03
87,POINT(137.421669960022 35.213718826489),da050127,黒谷渓谷,閑静で神秘的な美しさを持つ渓谷です。,旭観光協会,0565-68-3653,http://www.kankou-asahi.toyota.aichi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/22 13:21:43
88,POINT(137.385556697845 35.1976587825923),da050128,押井磨崖仏（おしいまがいぶつ）,岸壁に彫り込まれた、自然の仏様です。,旭観光協会,0565-68-3653,http://www.kankou-asahi.toyota.aichi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/22 13:28:10
89,POINT(137.42823600769 35.2238730608488),da050129,奥矢作湖,矢作ダムの完成でできた人造湖です。,旭観光協会,0565-68-3653,http://www.kankou-asahi.toyota.aichi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/26 11:36:37
90,POINT(137.543635368347 35.2024543357173),da050130,面の木原生林,天竜奥三河高原国定公園の一角にあり、大自然の景観は絶景です。真冬には樹氷が見られます。,いなぶ観光協会,0536-86-3200,http://www.inabu-kankou.com/ ,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/26 11:37:42
91,POINT(137.511641979218 35.2090291310978),da050131,名倉川遊歩道,清流名倉川の両岸を歩いて、紅葉と豊かな動植物を楽しみましょう。,いなぶ観光協会,0536-86-3200,https://www.inabu-kankou.com/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/26 11:38:45
92,POINT(137.485844492912 35.2546785857747),da050132,押川大滝,稲武の豊かな水の原点を見てみよう。,いなぶ観光協会,0536-86-3200,http://www.inabu-kankou.com/ ,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/29 15:23:07
93,POINT(137.517027854919 35.2184170160044),da050133,夏焼城ヶ山の花々,稲武地区　夏焼城ヶ山の登山コースで見られる四季の花々,いなぶ観光協会,0536-86-3200,https://www.inabu-kankou.com/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/26 11:48:21
94,POINT(137.509765597166 35.2141299511014),da050134,しだれ桜（瑞龍寺）,稲武地区の桜の名所,いなぶ観光協会,0536-86-3200,http://www.inabu-kankou.com/ ,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/08 14:04:06
95,POINT(137.509855628014 35.2100372193186),da050135,大井平公園,稲武地区の紅葉の名所,いなぶ観光協会,0536-86-3200,http://www.inabu-kankou.com/ ,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/23 11:15:11
96,POINT(137.240288257599 35.0344152680675),da050136,二畳ケ滝,落差３０ｍ、巾７ｍ岡崎市との境にあります。激流が二層になり流れ落ちます。,豊田市観光協会（ツーリズムとよた）,0565-85-7777,https://www.tourismtoyota.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/30 14:27:58
97,POINT(137.197222709656 35.0874673122318),da050137,自然観察の森,昆虫、小動物、鳥やかわいい花が見られる市街地に近い森です。,豊田市自然観察の森,0565-88-1310,https://toyota-shizen.org/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/22 13:33:13
98,POINT(137.237273454666 35.0712242799752),da050138,天下峯,松平親氏が山頂で天下泰平を祈願したと伝えられる景色のよい場所です。,（豊田市観光協会）ツーリズムとよた,0565-85-7777,https://www.tourismtoyota.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/22 13:34:42
99,POINT(137.239730358124 35.0752633900671),da050139,巴川（ともえがわ）おう穴,河床約２００ｍに約１５０個のおう穴が見られます。,豊田市観光協会（ツーリズムとよた）,0565-85-7777,https://www.tourismtoyota.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/23 11:18:46
100,POINT(137.116187810898 35.0425935542024),da050140,竹村駅近くのビオトープ　（豊田市竹町上沖）,６月には蓮の花等が美しく咲き、田んぼの生き物も観察できます。,"","","","","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/02/09 15:49:16
101,POINT(137.059754133224 35.0442449240294),da050141,阿地和池,池周辺の遊歩道と蓮の花を楽しむことができます。交通量が多い中のやすらぎの場です。,"","","","","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/02/09 15:51:52
102,POINT(137.543982434661 35.2025979428715),da050142,黒田ダム,四季の景色とともに、ゆっくりとした時間を感じることができます。,いなぶ観光協会,0565-83-3200,http://www.inabu-kankou.com/sight.html ,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/08 15:38:34
103,POINT(137.53977262787 35.2618170785257),da050143,子持ち桂,県の天然記念物です。１株から５０数本にも分かれ、子宝に恵まれるという説も。,いなぶ観光協会,0565-83-3200,http://www.inabu-kankou.com/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/08 15:40:18
104,POINT(137.5055372715 34.8928656643736),da060101,桜淵公園,新城市指定名勝であり、桜渕県立自然公園に指定されています。三河の嵐山といわれ、桜と渓谷が綺麗な公園です。,新城市観光協会,0536-29-0829,http://shinshirokankou.com,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/22 13:40:30
105,POINT(137.546870112419 34.9412208382075),da060102,鮎滝,新城市指定名勝であり、江戸時代からの続く鮎の「笠網漁」が行われている場所です。出沢地区にあります。,新城市観光協会,0536-29-0829,http://shinshirokankou.com/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/22 13:40:50
106,POINT(137.566187381744 35.0481799686393),da060103,四谷（よつや）の千枚田,新城市四谷にあります。標高差約２１０ｍにわたる千枚田であり、古き良き日本の原風景です。日本の棚田百選に選ばれています。,新城市 鳳来総合支所 地域課,0536-22-9931,http://www.city.shinshiro.lg.jp,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/22 13:41:09
107,POINT(137.586237591384 34.9788537710646),da060104,鳳来寺山,新城市にあります。標高６９５ｍ、紅葉の名所でもある国指定名勝、天然記念物です。,新城市 教育部 生涯共育課 設楽原歴史資料館,0536-22-0673 ,http://www.city.shinshiro.lg.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/08 15:48:14
108,POINT(137.645607590675 34.9502702461607),da060105,阿寺の七滝（あてらのななたき）,新城市下吉田（阿寺地区）にある全長６２ｍの滝で、国指定名勝です。日本の滝百選に選ばれています。,新城市観光協会,0536-29-0829,http://shinshirokankou.com/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/22 09:44:05
109,POINT(137.663991451263 35.0190403345347),da060106,乳岩峡（ちいわきょう）,新城市川合にあります。 鍾乳石などがある国指定天然記念物（昭和９年）の景勝地です。,新城市教育委員会設楽原歴史資料館,0536-22-0673 ,http://www.city.shinshiro.lg.jp,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/22 13:43:41
110,POINT(137.613818049431 34.9674341140517),da060107,馬背岩（うまのせいわ）,新城市の湯谷温泉付近の宇連川にある奇岩です。 文字どおり、馬の背の形をした岩で、国指定天然記念物です。,新城市教育委員会設楽原歴史資料館,0536-22-0673,http://www.city.shinshiro.lg.jp,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/22 13:45:07
111,POINT(137.581658363342 34.865968343084),da060108,黄柳野（つげの）つげ自生地,新城市黄柳野にある国指定天然記念物です。,新城市教育委員会設楽原歴史資料館,0536-22-0673,http://www.city.shinshiro.lg.jp,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/22 13:46:12
112,POINT(137.575124339461 34.9707423786913),da060109,ネズの樹,新城市門谷にある県指定天然記念物です。,新城市教育委員会設楽原歴史資料館,0536-22-0673,https://www.city.shinshiro.lg.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/08 15:59:08
113,POINT(137.614225745201 34.9029674883098),da060110,満光寺（まんこうじ）庭園,新城市下吉田にある江戸時代中期の庭園で県指定名勝です。,新城市教育委員会設楽原歴史資料館,0536-22-0673,https://www.city.shinshiro.lg.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/22 13:47:28
114,POINT(137.504383921623 35.0554083623959),da060111,鳴沢（なるさわ）の滝,新城市指定名勝であり、愛知県でも最大級の滝です。新城市作手守義にあります。,新城市観光協会,0536-29-0829,http://shinshirokankou.com,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/22 13:47:58
115,POINT(137.45519073553 35.0007449683226),da060112,長ノ山（ながのやま）湿原,環境省が選定した日本の重要湿地５００の一つ「作手中間湿原群」を構成する代表的な湿原で、県指定天然記念物に指定されています。,新城市教育委員会設楽原歴史資料館,0536-22-0673,http://www.city.shinshiro.lg.jp,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/08 16:06:18
116,POINT(137.432393431664 34.9315899048973),da060113,保永の三滝（やすながのさんたき）,新城市作手保永にあり、奇岩と深緑で代表される景観美です。,(一社）奥三河観光協議会,0536-29-9393,http://www.okuminavi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/26 11:57:56
117,POINT(137.42782934744 34.8781245885046),da060114,本宮山,新城市、岡崎市、豊川市にまたがり、山頂から麓にかけて見事な樹林が続く三河の名山です。,新城市教育委員会設楽原歴史資料館,0536-22-0673,http://www.city.shinshiro.lg.jp,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/08 16:10:05
118,POINT(137.441974282265 34.9735267741687),da060115,甘泉寺（かんせんじ）のコウヤマキ,新城市作手地区にある国指定天然記念物で新・日本名木百選に選ばれています。,新城市教育委員会設楽原歴史資料館,0536-22-0673,http://www.city.shinshiro.lg.jp,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/02/08 13:15:08
119,POINT(137.413956096001 34.9649032450238),da060116,須山のイヌツゲ,新城市作手清岳にある県指定天然記念物です。,新城市教育委員会設楽原歴史資料館,0536-22-0673,http://www.city.shinshiro.lg.jp,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/08 16:14:56
120,POINT(137.600764720377 35.0874105814041),da060117,岩古谷山（いわこやさん・いわごやさん）,北設楽郡設楽町にある県指定名勝で、ハイキングコースとなっています。,設楽町観光協会,0536-62-1000,https://www.kankoshitara.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/08 16:15:48
121,POINT(137.475700378418 35.116047193457),da060118,段戸裏谷（だんとうらだに）原生林  きららの森,設楽町にあり、豊川の源流部に広がる県内最大級のブナの原生林です。水源の森百選に選ばれています。,設楽町観光協会,0536-62-1000,https://www.kankoshitara.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/03/29 15:58:52
122,POINT(137.570339672508 35.0980085846442),da060119,福田寺（ふくでんじ）のイヌグス,設楽町田口にあり、県指定天然記念物です。,設楽町観光協会,0536-62-1000,https://www.kankoshitara.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/08 16:18:10
123,POINT(137.591196298599 35.188755135711),da060120,面ノ木（めんのき）園地,豊田市と設楽町津具地区の境に有り、秋の紅葉、冬の霧氷など四季を通じて山の自然を楽しめます。,設楽町観光協会,0536-62-1000,https://www.kankoshitara.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/22 13:55:40
124,POINT(137.708526849747 35.0743502174496),da060121,蔦の渕（つたのふち）,北設楽郡東栄町のとうえい温泉横にあり、奥三河のナイアガラとも呼ばれています。,東栄町役場　振興課,0536-76-0502,http://www.town.toei.aichi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/26 13:10:26
125,POINT(137.66258597374 35.0496819111263),da060123,明神山（みょうじんさん・みょうじんやま）,北設楽郡東栄町にあり、変化に富んだ登山道として人気のハイキングコースです。,東栄町役場　振興課,0536-76-0502,http://www.town.toei.aichi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 11:46:14
126,POINT(137.65580534935 35.2276460628545),da060124,茶臼山高原,北設楽郡豊根村にあり、愛知県唯一のスキー場があります。夏涼しく四季を通じて遊べる場所です。,（一財）茶臼山高原協会,0536-87-2345,http://www.chausuyama.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/26 13:15:02
127,POINT(137.658240795135 35.2160065982612),da060125,茶臼山の芝桜,北設楽郡豊根村　茶臼山高原から見える南アルプスと川の流れをイメージした芝桜の花畑です。,（一財）茶臼山高原協会,0536-87-2345,http://www.chausuyama.jp/ ,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 11:48:03
128,POINT(137.451345920563 34.7451389077403),da070101,葦毛湿原（いもうしつげん）と豊橋自然歩道,希少な植物の宝庫の葦毛湿原と気軽に楽しめるハイキングコースです。,豊橋市役所都市計画部 公園緑地課,0532-51-2650,https://www.city.toyohashi.lg.jp/3956.htm,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/22 09:46:44
129,POINT(137.482164502144 34.8593922993205),da070102,吉祥山（きちじょうさん）,吉祥山に登ろう！豊かな自然が見られる気軽なハイキングコースです。,豊橋市役所　産業部農業支援課,0532-51-2477,https://www.city.toyohashi.lg.jp/7514.htm,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/26 13:17:55
130,POINT(137.354416251183 34.8558003425633),da070103,四季の森,自然観察や森林浴を楽しむことができる散策路や展望台があります。,豊川市ふれあいセンター（ゆうあいの里）,0533-88-7270,http://www.city.toyokawa.lg.jp/shisetsu/fukushiiryo/yuainosato.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/26 13:18:40
131,POINT(137.318429163748 34.8438823380534),da070104,東海道御油（ごゆ）の松並木,東海道で現存する松並木の中では代表的なもので、昭和１９年に国の天然記念物に指定されています。,豊川市観光協会・豊川市産業部商工観光課,0533-89-2206・0533-89-2140,https://www.toyokawa-map.net/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/09 09:47:16
132,POINT(137.417796850204 34.8796249384722),da070105,本宮山（宝円寺のシダレザクラ、牛の滝）,本宮山登山の出発点であるほか、自然と歴史に触れ合えるハイキングコース「ふるさと自然のみち」の出発点になる施設です。,豊川市観光協会・豊川市産業部商工観光課,0533-89-2206・0533-89-2140,http://www.toyokawa-map.net/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/26 13:30:39
133,POINT(137.2886967659 34.8552985125886),da070106,宮路山（みやじさん）,標高３６２mの山頂から三河湾を望むことができます。秋は紅葉が見事です。,豊川市観光協会・豊川市産業部商工観光課,0533-89-2206・0533-89-2140,http://www.toyokawa-map.net/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/26 13:33:39
134,POINT(137.311710119247 34.8185421537514),da070107,御津山（みとやま）,標高９４ｍ余りの山で、家康公が大恩寺に寺領として全山を与えたことから大恩寺山とも呼ばれています。,豊川市観光協会・豊川市産業部商工観光課,0533-89-2206・0533-89-2140,https://www.toyokawa-map.net/   ,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/22 14:12:21
135,POINT(137.322192192078 34.7890212817011),da070108,三河臨海緑地「日本列島」,日本列島のミニチュアを庭園風に創り上げ、回遊散策ができます。,愛知県三河港務所総務課総務グループ,0532-31-4155,http://www.pref.aichi.jp/soshiki/mikawa-komu/ ,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/26 13:35:19
136,POINT(137.366078495979 34.796091925125),da070109,とんぼ公園（ビオトープ）,多くの種類のとんぼが同居する公園です。シオカラトンボ・ショウジョウトンボ・ノシメトンボ・ギンヤンマ・アオモンイトトンボ等がいます。,"","","","","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/22 14:15:16
137,POINT(137.273375988007 34.8296703014416),da070110,蒲郡さがらの森,里山、自然景観等の自然休養の場として優れた森林です。,蒲郡市役所（教育委員会スポーツ推進課）,0533-66-1222,http://www.city.gamagori.lg.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/26 13:36:57
138,POINT(137.17749774456 34.8049194661524),da070112,双太山公園（そうだやま）,蒲郡市形原町にある市の公園です。 地場産業のロープを使った遊具もあります。,蒲郡市役所都市開発部都市計画課,0533-66-1141,https://www.city.gamagori.lg.jp/unit/keikaku/soudayamakouen.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/22 14:16:44
139,POINT(137.190326450942 34.7955641410057),da070113,ブルーブリッジ,正式名は、形原漁港大橋です。 橋の欄干等の色が青色をしていることから、つけられました。,愛知県三河港務所　蒲郡出張所,0533-69-5381,http://www.pref.aichi.jp/soshiki/mikawa-komu/ ,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/09 10:11:34
140,POINT(137.231678366661 34.8110726369112),da070114,竹島,蒲郡市竹島町の三河湾に浮かぶ無人島で、昭和5年に島全体が国の天然記念物に指定されています。,蒲郡市観光協会,0533-68-2526,https://www.gamagori.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/22 14:18:40
141,POINT(137.016441822052 34.5793322514018),da070115,伊良湖岬灯台 恋路ヶ浜 日出の石門（ひいのせきもん）,渥美半島の最先端、海の絶景がここに広がります。,渥美半島観光ビューロー,0531-23-3516,https://www.taharakankou.gr.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/26 13:42:12
142,POINT(137.2181224823 34.6142437101247),da070116,太平洋ロングビーチ,サーフィンのメッカとして年中賑わいます。,渥美半島観光ビューロー,0531-23-3516,https://www.taharakankou.gr.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/22 14:22:44
143,POINT(137.251402433328 34.6756177457686),da070117,衣笠（きぬがさ）の森,子供から大人まで幅広く自分にあった森林浴、山歩きが楽しめる森林として親しまれています。,田原市役所（街づくり推進課）,0531-22-1111,http://www.city.tahara.aichi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/09 10:18:54
144,POINT(137.040377855301 34.6141465824842),da070118,西ノ浜海浜の森,三河湾に面して、飛砂防止機能を高度に有した松林です。,田原市役所（街づくり推進課）,0531-22-1111,http://www.city.tahara.aichi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/22 14:25:07
145,POINT(137.090191841125 34.5990197731633),da070119,渥美の森,森林浴、森林レクリェーションの場として優れた森林です。,田原市役所（街づくり推進課）,0531-22-1111,http://www.city.tahara.aichi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/22 14:25:42
146,POINT(137.221019268036 34.6252095728666),da070120,赤羽根文化の森,四季の森、野鳥の森、自然の森、郷土の森。四つのブロックに分けられた森を楽しめます。,田原市役所（街づくり推進課）,0531-22-1111,http://www.city.tahara.aichi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/22 14:26:15
147,POINT(137.1494525671 34.6198195291261),da070121,シデコブシ自生地 (椛、伊川津、藤七原、黒河）,シデコブシは自生地が伊勢湾周辺に限定された珍しい植物です。,田原市教育委員会（文化財課）,0531-22-1720　,http://www.city.tahara.aichi.jp/shisetsu/kankou/1002466.html ,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/26 13:59:29
151,POINT(137.055360190435 34.5848305515049),da070124,ハマボウ、ハマカンゾウ,ハマボウ、ハマカンゾウともに海岸付近に自生する夏の花です。,渥美半島観光ビューロー,0531-23-3516,https://www.taharakankou.gr.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/09 10:30:58
152,POINT(137.025404087367 34.5855117674924),da070125,キャベツ畑・菜の花畑,見渡す限りのキャベツ畑は見事です。菜の花畑は「常春の渥美半島」を実感させてくれます。,渥美半島観光ビューロー,0531-23-3516,https://www.taharakankou.gr.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/09 10:33:29
154,POINT(137.242852449417 34.6434210039373),da070128,黒河湿地（くろがわしっち）植物群落,シデコブシなどの貴重な植物が数多く群生しています。,田原市教育委員会（文化財課）,0531-22-1720　,http://www.city.tahara.aichi.jp/shisetsu/kankou/1002461.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/22 14:43:58
156,POINT(136.8590901164 35.298500192437),da010101,一宮桜まつり（青木川）,桜を中心とした祭りです。,一宮市観光交流課　観光グループ,0586-28-9131,https://www.city.ichinomiya.aichi.jp/shisei/keizai/1010115/1000007/1004941.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/09 10:45:31
157,POINT(136.808283409632 35.3052562004422),da010101,一宮桜まつり（大江川緑道）,桜を中心とした祭りです。,観光交流課　観光グループ,0586-28-9131,https://www.city.ichinomiya.aichi.jp/shisei/keizai/1010115/1000007/1004941.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/09 10:47:10
158,POINT(136.80671339584 35.3568036512871),da010101,一宮桜まつり（木曽川堤）,桜を中心とした祭りです。,観光交流課　観光グループ,0586-28-9131,https://www.city.ichinomiya.aichi.jp/shisei/keizai/1010115/1000007/1004941.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/09 10:48:13
159,POINT(136.823109526953 35.3305390094773),da010101,一宮桜まつり（浅井山公園）,桜を中心とした祭りです。,観光交流課　観光グループ,0586-28-9131,https://www.city.ichinomiya.aichi.jp/shisei/keizai/1010115/1000007/1004941.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/09 10:49:06
160,POINT(136.749066796447 35.3162257917811),da010101,一宮桜まつり（尾西緑道）,桜を中心とした祭りです。,観光交流課　観光グループ,0586-28-9131,https://www.city.ichinomiya.aichi.jp/shisei/keizai/1010115/1000007/1004941.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/09 10:49:53
161,POINT(136.794480391129 35.305827475839),da010101,一宮桜まつり（稲荷公園）,桜を中心とした祭りです。,一宮市経済部商工観光課,0586-28-9131,https://www.city.ichinomiya.aichi.jp/shisei/keizai/1010115/1000007/1004941.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2020/06/17 10:28:15
162,POINT(136.840779325177 35.2169809702651),da010125,五条川の桜（清須）,五条川堤防に桜並木があり、周囲の景色との彩りが美しいです。,清須市役所,052-400-2911,https://www.city.kiyosu.aichi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 10:10:30
163,POINT(136.912608146667 34.9104902520145),da030102,矢勝川堤に咲く百万本の彼岸花,矢勝川の堤に百万本が咲く日本有数の彼岸花群生地です。,新美南吉記念館,0569-26-4888,http://www.nankichi.gr.jp,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/22 14:51:07
164,POINT(136.999496389494 34.7034345655497),da030108,干ダコ,日間賀島の珍風物詩です。,南知多町観光協会,0569-62-3100,http://minamichita-kk.com/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 10:26:43
165,POINT(137.708483934402 35.0739287497179),da060122,振草（ふりくさ）渓谷,北設楽郡東栄町を流れる川にあります。ポットホールを多数見ることができます。日本の紅葉百選に選ばれています。,東栄町役場　振興課,0536-76-0502,http://www.town.toei.aichi.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/26 13:10:37
167,POINT(137.198553085327 34.8360681954394),da070111,早春の西迫町（にしばさまちょう）,つま物用に栽培されている、桜・桃・菜の花が早春の集落を彩ります。,蒲郡市役所（産業振興部農林水産課）,0533-66-1126,https://www.city.gamagori.lg.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/22 14:55:01
168,POINT(137.018795506258 34.5809061140886),da070122,渡り鳥,伊良湖岬では毎年秋に、南へ飛び立つタカの大群が見られます。,渥美半島観光ビューロー,0531-23-3516,https://www.taharakankou.gr.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/09 11:06:58
169,POINT(136.932568321917 34.727079245345),da030105,国営農地開発事業南知多地区,丘陵地帯に農地造成された広大な畑に様々な農作物が栽培されています。,南知多町役場建設経済部産業振興課,0569-65-0711,https://www.town.minamichita.lg.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/09 11:08:34
170,POINT(137.383028516676 34.7633887675432),da070129,路面電車,日本では珍しい道路を走る電車です。,"","","","","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/09 11:10:03
171,POINT(137.082831859589 34.9673066293104),da040108,明治用水,明治用水は、矢作川から取水され安城市を中心に西三河南部を潤す農工業用水路です。今はほとんどが管水路化され、自転車道や遊歩道として地域の人びとに親しまれています。,明治用水土地改良区,0566-76-6241,http://midorinet-meiji.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/26 10:43:46
172,POINT(137.027133107185 35.2212305403549),da010109,長池,長池周辺はウォーキングコースになっています。,尾張旭市都市整備課公園緑地係,0561-76-8161,https://www.city.owariasahi.lg.jp/kurasi/seikatu/park/shiroyama/001.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 10:11:27
173,POINT(137.233840067986 34.8458606217635),da070123,清田の大クス,樹齢推定1000年以上、樹高22メートル、根回り13.6メートル。愛知県内最大です。,蒲郡市観光協会,0533-68-2526,http://www.gamagori.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/09 11:19:06
174,POINT(137.018437385559 34.5824857482912),da070127,（日本の道百選） 渥美サイクリングロード,渥美半島の太平洋側には、海岸に沿って走る全長約40kmのサイクリングロードが整備されています。,渥美半島観光ビューロー,0531-23-3516,https://www.taharakankou.gr.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/03/29 16:10:01
175,POINT(137.221720503625 34.626321331346),da070126,電照菊,電照菊の栽培で、群立する温室は煌々と輝く夜景となります。,渥美半島観光ビューロー,0531-23-3516,https://www.taharakankou.gr.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/09 11:24:45
178,POINT(137.046107053757 35.3178828328735),da010129,あい農パーク春日井（春日井市ふれあい農業公園）,子どもから大人まで、手ぶらで気軽に「農」に触れることができる農業公園です。,あい農パーク春日井（春日井市ふれあい農業公園）,0568-37-1831,http://kasugai-nougyoukouen.jp/,"","",システム管理者,2021/02/03 10:10:29,システム管理者,2023/01/12 10:14:36
179,POINT(136.740024089813 35.2567330394959),da010128,祖父江ぎんなんパーク,「祖父江ぎんなん」のさらなるブランド力向上かつ、「ぎんなん、歴史、健康」などをテーマに多くの人々が訪れ、多彩な交流が楽しめる場として令和3年6月に開園しました。,設置者：稲沢市（農務課）/管理者：祖父江町商工会,稲沢市（農務課）：0587－32－1111 祖父江町商工会：0587－97－5800,http://www.city.inazawa.aichi.jp/shisetsuannai/koen_shizen/koen/1007834.html,"","",システム管理者,2021/12/21 10:07:46,システム管理者,2023/01/12 10:15:10
180,POINT(136.732578277588 35.1108603733552),da020614,金魚日本一大会,平成6年から開催されている歴史ある金魚の品評会です。 全国から700～800点の金魚が集まり、親魚の部と当歳魚の部に分かれて日本一を決める大会です。,弥富金魚漁業協同組合,0567-65-1250,"","","",システム管理者,2022/12/12 15:07:51,システム管理者,""
