フィーチャID,形状(WKT),データID,データ名,特色、概要,問い合わせ先,問い合わせ先電話番号,問い合わせ先ホームページ,期間開始日時,期間終了日時,作成者,作成日時,更新者,更新日時
92,POINT(136.906836032867 35.0221243387489),da030507,東海市立農業センター,洋ラン研究、果樹の展示栽培等を行っています。,東海市立農業センター,052-601-8731,http://www.city.tokai.aichi.jp,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 15:22:08
93,POINT(136.943061947823 34.9931380175885),da030508,ＪＡあぐりタウン げんきの郷,「農」と「食」をテーマとする健康・安全の拠点施設です。 ファーマーズマーケットやレストラン、温泉などがあり、週末はイベントを開催しています。,ＪＡあぐりタウン げんきの郷,0562-45-4080,http://www.agritown.co.jp,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/26 15:36:18
94,POINT(136.936984062195 35.0052048161226),da030509,おはよう君,平成５年オ－プンの直売所の老舗です。,農業生産法人(有)新鮮農場,0562-48-6681,http://www.ohayo-kun.com/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 15:23:03
95,POINT(136.890034675598 34.9669021936457),da030510,佐布里緑と花のふれあい公園,佐布里池周辺の自然や景観を活かした参加体験型施設です。,佐布里緑と花のふれあい公園「梅の館」,0562-54-2911,https://www.sourifureai.com/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 15:25:02
97,POINT(136.82296872139 34.954772592077),da030512,新舞子マリンパーク,ブルーサンビーチや魚釣り施設などがあり、マリンレジャーが楽しめるスポットです。,新舞子マリンパーク管理事務所,0562-56-3980,http://www.marine-park.jp/info/index.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 15:27:34
99,POINT(136.899250542634 34.9478317014949),da030514,草木農産物直売所,阿久比町の豊かな土地で育った新鮮な農産物がいっぱいです。,草木農産物直売組合,0569-48-0523,"","","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 15:29:49
100,POINT(136.918849810356 34.9291134706103),da030515,グリーンプラザあぐい （農産物の直売）,地元産を中心に、豊かな土地で育った新鮮な農産物がいっぱいです。,グリーンプラザあぐい,0569-48-1124,https://www.agris.or.jp/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/26 15:43:10
101,POINT(137.002515792847 34.7068164090962),da030516,日間賀島教育旅行,日間賀島で生きている魚と自然を体で経験してください。,日間賀島観光協会,0569-68-2388,https://www.himaka.net/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/26 15:44:38
102,POINT(136.93789601326 34.7065694509131),da030517,豊浜魚ひろば,活きの良さはもちろん、価格もとびっきりの産直市場です。,魚ひろば事務局,0569-65-0483,http://sakanahiroba.net/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/26 15:46:02
103,POINT(136.897459030151 34.8908636310398),da030518,ファーマーズマーケット　ブリオ,「飼育から販売まで自分の手で」ファーマーズマーケットブリオ,ファーマーズマーケット　ブリオ,0569-20-5410,http://www.fm‐brio.com,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/26 15:47:42
104,POINT(136.847097873688 34.756334258285),da030519,食と健康の館,知多美浜の自然を活かした新しい体験型観光・製塩施設です。,食と健康の館,0569-83-3600,http://www.shio-yakata.com/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 15:35:10
106,POINT(136.879767179489 34.8010035728434),da030520,ジョイフルファーム鵜の池,とれたての農産物をお値打ちに直売！味覚狩りも楽しめます。,ジョイフルファーム鵜の池,0569-87-6080,http://joyful-f.jp,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/26 15:51:27
109,POINT(136.896261386995 34.7607294836799),da030521,いちご狩り・みかん狩り,味覚狩り体験で、自然の味覚を満喫できます。,南知多町観光協会,0569-62-3100,http://minamichita-kk.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/12 15:38:58
111,POINT(136.911378268172 34.8462873885412),da030524,グリーンセンター武豊,営農センターとグリーンセンターを併せ持ったJAの複合施設です。,グリーンセンター武豊,0569-72-1631,https://www.agris.or.jp/food/green/entry-183.html,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/12 15:43:24
112,POINT(136.856761747701 34.7957037862384),da030522,知多半島の潮干狩り （奥田中潮干狩り場）,知多半島では、春4月になると各地で潮干狩り場が開設されます。,美浜町観光協会,0569-83-6660,https://www.aichi-mihama.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/26 15:57:44
113,POINT(136.849780082703 34.7800422328012),da030522,知多半島の潮干狩り （奥田南潮干狩り場）,知多半島では、春4月になると各地で潮干狩り場が開設されます。,美浜町観光協会,0569-83-6660 ,https://www.aichi-mihama.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/02/09 09:37:43
114,POINT(136.858189592369 34.7996469644756),da030522,知多半島の潮干狩り （奥田北潮干狩り場）,知多半島では、春4月になると各地で潮干狩り場が開設されます。,美浜町観光協会,0569-83-6660,https://www.aichi-mihama.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/26 15:57:24
115,POINT(136.942659374941 34.7466970521332),da030522,知多半島の潮干狩り （乙方海岸）,知多半島では、春4月になると各地で潮干狩り場が開設されます。,南知多町観光協会,0569-62-3100,http://minamichita-kk.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/26 15:58:18
116,POINT(136.919104456901 34.7983870005245),da030522,知多半島の潮干狩り （河和口潮干狩り場）,知多半島では、春4月になると各地で潮干狩り場が開設されます。,美浜町観光協会,0569-83-6660,https://www.aichi-mihama.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/26 15:54:17
117,POINT(136.862424015999 34.8161859818723),da030522,知多半島の潮干狩り （坂井海岸）,知多半島では、春4月になると各地で潮干狩り場が開設されます。,常滑市観光協会,0569-34-8888,https://www.tokoname-kankou.net/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/26 15:55:56
118,POINT(136.947020888329 34.7417050689894),da030522,知多半島の潮干狩り （山田海岸）,知多半島では、春4月になると各地で潮干狩り場が開設されます。,南知多町観光協会,0569-62-3100 ,http://minamichita-kk.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/26 15:58:04
119,POINT(136.921506379189 34.8049205133687),da030522,知多半島の潮干狩り （上村潮干狩り場）,知多半島では、春4月になると各地で潮干狩り場が開設されます。,美浜町観光協会,0569-83-6660,https://www.aichi-mihama.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/26 15:54:53
120,POINT(136.858643727954 34.8068330559554),da030522,知多半島の潮干狩り （上野間潮干狩り場）,知多半島では、春4月になると各地で潮干狩り場が開設されます。,美浜町観光協会,0569-83-6660,https://www.aichi-mihama.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/26 15:55:28
121,POINT(136.921065064175 34.8026298138804),da030522,知多半島の潮干狩り （大池潮干狩り場）,知多半島では、春4月になると各地で潮干狩り場が開設されます。,美浜町観光協会,0569-83-6660,https://www.aichi-mihama.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/26 15:56:59
122,POINT(136.916921138763 34.7858051498441),da030522,知多半島の潮干狩り （北方潮干狩り場）,知多半島では、春4月になると各地で潮干狩り場が開設されます。,美浜町観光協会,0569-83-6660,https://www.aichi-mihama.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/26 15:56:26
123,POINT(136.938743591309 34.7495114457255),da030522,知多半島の潮干狩り （矢梨潮干狩り場）,知多半島では、春4月になると各地で潮干狩り場が開設されます。,南知多町観光協会,0569-62-3100,http://minamichita-kk.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/26 15:56:41
125,POINT(136.924957577047 34.8469461768191),da030527,旧武豊港駅転車台,かつて、農林水産物輸送の花形であった鉄道。その文化を感じられる憩いの場です。,武豊町歴史民俗資料館,0569(73)4100,http://www.town.taketoyo.lg.jp/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/12 15:18:41
126,POINT(137.187095335484 34.9871853864471),da040501,おかざき農遊館,岡崎の農林業の振興と活性化を図るための農林産物直売施設です。,おかざき農遊館,0564-46-4700,https://www.city.okazaki.lg.jp/1200/1211/1249/p003245.html,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/07/27 14:07:08
127,POINT(137.129652500153 34.9160944828984),da040502,ふれあいドーム岡崎,岡崎の農林業の振興と活性化を図るための農林産物直売施設です。,ふれあいドーム岡崎,0564-43-0123,https://www.city.okazaki.lg.jp/1200/1211/1249/p003246.html,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2022/11/24 11:49:12
128,POINT(137.181204557419 35.0153762809069),da040503,おかざき自然体験の森,岡崎市北部に位置する、市民参加型環境教育の拠点施設です。,おかざき自然体験の森,0564-45-5544,https://okazaki-kanko.jp/mizutomidori/shizen-taiken,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2022/11/24 11:49:57
130,POINT(136.968816518784 34.8510020183941),da040505,碧南市農業活性化センター　あおいパーク,見る、食べる、やってみる。碧南市あおいパークは体験パークです。,碧南市農業活性化センターあおいパーク,0566-43-0511,http://www.city.hekinan.aichi.jp/aoi/index.htm ,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/26 16:06:15
133,POINT(137.037294751964 35.0413777023258),da040506,でんまぁと刈谷南 産直センター刈谷中部 産直センター刈谷北部,刈谷市内3ヶ所の直売所で米や新鮮な季節野菜・果物・野菜花苗などをお値打ち価格で販売。,・でんまぁと刈谷南（小垣江町八角151） 　　TEL:0566-27-8817 　　FAX:0566-27-8816 　・産直センター刈谷中部（築地町4-2-7） 　　TEL:0566-62-1055 　　FAX:0566-62-1056 　・産直センター刈谷北部（東境町神田36-1） 　　TEL:0566-35-1080 ,"",https://www.jaac.or.jp/agriculture/sanchoku/index.html,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/26 16:07:06
134,POINT(137.048660516739 35.0410475607079),da040507,刈谷ハイウェイオアシス,高速利用者も一般道路利用者も楽しめる伊勢湾岸道刈谷市内パーキングエリアです。,刈谷ハイウェイオアシス株式会社,0566-35-0211,http://www.kariya-oasis.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/12 16:15:23
135,POINT(137.09501900651 34.9488170856635),da040509,ＪＡあいち中央 産直センター安城東部,安城市安城町のJA直売施設です。産直野菜、果物、花、観葉植物、園芸用品、生産資材などを取り扱っています。,ＪＡあいち中央産直センター安城東部,0566-76-6503,http://www.jaac.or.jp/agriculture/sanchoku/index.html,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/26 16:09:40
136,POINT(137.065032720566 34.9294920584869),da040510,産直センター「道の駅」デンパーク安城,安城市デンパーク隣接の道の駅です。産直野菜、果物、ＪＡ特産品、花などを扱っています。,産直センター「道の駅」デンパーク安城,0566-73-4401,http://www.jaac.or.jp/agriculture/sanchoku/index.html,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/13 09:01:07
137,POINT(137.090075970185 34.9897231371849),da040511,JAあいち中央 ファーマーズマーケット でんまぁと安城北部 ,安城市東栄町のJA直売施設です。産直野菜、ＪＡ特産品、果物、花、観葉植物、園芸用品、生産資材を取り扱っています。,JAあいち中央 ファーマーズマーケット でんまぁと安城北部 ,0566-96-1051,http://www.jaac.or.jp/agriculture/sanchoku/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/26 16:10:22
138,POINT(137.087205298863 34.9223897621041),da040512,ＪＡあいち中央　産直センター安城桜井,安城市桜井町のJA直売施設です。産直野菜、ＪＡ特産品、果物、花、食品などを取り扱っています。,ＪＡあいち中央産直センター安城桜井,0566-73-7177,https://www.jaac.or.jp/agriculture/sanchoku/anjosakurai/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/12 16:18:33
139,POINT(137.060966491699 34.9308290569484),da040513,安城産業文化公園デンパーク,安城市デンパークは、花・みどり・暮らしを提案しています。,安城産業文化公園デンパーク,0566-92-7111,https://denpark.jp/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/12 16:18:58
140,POINT(137.115914225578 34.8634110552104),da040515,西尾いきものふれあいの里,西尾市東部丘陵地にあり、身近な里山の自然に触れることができる場です。,西尾いきものふれあいの里ネイチャーセンター,0563-52-0266,"https://www.city.nishio.aichi.jp/index.cfm/9,0,94,431,html","","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/13 09:03:21
141,POINT(137.05128426687 34.8357457119662),da040517,西尾市憩の農園,東海地区随一の産地直売方式の緑花木ショッピングセンターです。,JA西三河憩の農園,0563-56-8168,https://www.ja-nishimikawa.or.jp/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/13 09:44:27
142,POINT(137.03441798687 34.7260901025409),da040518,佐久島弁天サロン,一色町沖の三河湾に浮かぶ佐久島で、人々の新たな意欲と創意を生み出す場です。,佐久島弁天サロン,0563-78-2001,http://www.sakushima.com/guide/benten_saron.php ,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/27 09:09:05
143,POINT(137.095410117008 34.8256016429654),da040519,産直つのひら,吉良町の津平地区の住民が、農林水産物の直売を行っています。,西尾市役所農水振興課,0563-56-2111 ,https://www.city.nishio.aichi.jp/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/13 09:06:52
144,POINT(137.11546814143 34.7946090931806),da040520,アグリプラザ幡豆店,幡豆町西幡豆でＪＡ西三河が運営する農産物の直売施設です。,アグリプラザ幡豆店,0563-62-3100,https://www.ja-nishimikawa.or.jp/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/13 09:46:01
145,POINT(137.104740142822 34.7910918755715),da040521,潮干狩り場(西幡豆・鳥羽海岸),幡豆町内の東幡豆海岸と西幡豆・鳥羽海岸での潮干狩り,西尾市観光協会,0563-57-7882,http://nishiokanko.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/27 09:12:14
146,POINT(137.14937210083 34.7835141301199),da040521,潮干狩り場(東幡豆海岸),幡豆町内の東幡豆海岸と西幡豆・鳥羽海岸での潮干狩り,西尾市観光協会,0563-57-7882,http://nishiokanko.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/13 09:07:45
147,POINT(137.101132116461 34.792402548559),da040522,三ヶ根みかん狩り,幡豆町三ヶ根山麓でみかん狩り（温州みかん）,三ヶ根みかん狩組合　三ヶ根みかん狩り鳥羽園,0563-62-3468,"","","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/12 15:56:50
148,POINT(137.195211052895 34.8579528943057),da040523,不動ケ滝キャンプ場,幸田町遠望峰山山麓の自然の中のキャンプ場です。,幸田町役場都市計画課計画整備グループ,0564-62-1111,https://www.town.kota.lg.jp/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/12 15:58:37
149,POINT(137.176977396011 34.8775345657656),da040524,幸田憩の農園,国道２４８幸田町大草交差点のJA直売施設です。新鮮野菜の産直コーナーをはじめ豊富な品揃えです。,幸田憩の農園,0564-62-4339,https://www.ja-aichimikawa.or.jp/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/12 15:59:20
150,POINT(137.061213254929 34.9305211973915),da040525,和食処「ふるさと館」の郷土料理,安城市デンパークの和食処です。箱寿司などの郷土料理や、地元の旬のとれたて野菜の料理が楽しめます。,郷土料理・和食処　ふるさと館（デンパーク内）,0566-92-7125,http://denpark.jp/gourmet.html#gr03,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/12 16:00:22
155,POINT(137.206728458405 34.9391935987291),da040528,愛知県畜産総合センター,岡崎市丸山町にある愛知県畜産総合センターでは、畜産との「ふれあいの場」を提供しています。,愛知県畜産総合センター（人工妊娠課）,0564-21-0201,https://www.pref.aichi.jp/soshiki/chikusan-c/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/12 16:02:15
157,POINT(137.05107802447 34.8659546183756),da040530,抹茶ラボ　西尾伝想茶屋店 ,西尾市歴史公園の尚古荘（昭和初期に作られた日本式庭園と建物）の敷地の一角にある、商家風木造２階建ての伝想茶屋は、平成１１年に完成した建物です。,抹茶ラボ　西尾伝想茶屋店,0563-56-0255,https://matchalab.co.jp/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/13 09:39:09
158,POINT(137.100255489349 34.7672108065428),da040521,潮干狩り(梶島),西尾市吉良町の海で毎年行われる人気行事です。多くの人が訪れます。,西尾市観光協会,0563-57-7882,http://nishiokanko.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/13 09:37:55
159,POINT(137.069721221924 34.7864571976711),da040521,潮干狩り（吉田海岸）,西尾市吉良町の海で毎年行われる人気行事です。多くの人が訪れます。,西尾市観光協会,0563-57-7882,http://nishiokanko.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/13 09:37:29
160,POINT(137.096758943638 34.7818434917342),da040521,潮干狩り（宮崎東海岸）,西尾市吉良町の海で毎年行われる人気行事です。多くの人が訪れます。,吉良町役場産業課,0563-32-2157,http://www.town.kira.lg.jp/pub/kankou_bunka/index.htm,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/13 09:34:02
161,POINT(137.144527789077 34.7885597372501),da040532,三河湾観光遊船,西尾市東幡豆港の小型底引き網漁船を一隻借りきって、三河湾の真ん中で漁師気分と海の幸をまるごと堪能できます。,東幡豆漁業協同組合,0563-62-2068,http://www.katch.ne.jp/~higasihazu-gk/index.html ,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/13 09:40:21
162,POINT(137.158121466637 34.7922064503216),da040533,愛知こどもの国,東幡豆町の「愛知こどもの国」は、三河湾を見渡せる１００万㎡の広大な丘にあり、季節を問わず家族連れに人気です。,愛知こどもの国,0563-62-4151,https://www.kodomo-aichi.jp/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/12 15:51:16
163,POINT(137.027487158775 34.8057079081097),da040534,一色地域文化広場「学びの館」,一色地域文化広場の核となっている施設です。,一色学びの館,0563-72-3880,https://isshiki-ccp.jp/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/12 15:52:25
164,POINT(137.014102935791 34.7949509713538),da040535,一色さかな広場,漁港に隣接した人気の海鮮マーケットです。,一色さかなセンター（株）,0563-72-3700,http://www.sakanahiroba.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/27 09:20:13
166,POINT(137.0460460146 34.7238637820912),da040538,大浦海水浴場（佐久島）,西尾市一色町佐久島の大浦湾にある愛知県内屈指の美しい海水浴場です。,西尾市役所佐久島振興課,0563-72-9607,http://sakushima.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/12 15:55:45
167,POINT(137.083136133904 34.8767807442883),da040539,道の駅にしお岡ノ山,六万石城下町、日本有数の抹茶の里「西尾」の道の駅です。,道の駅にしお岡ノ山,0563-55-5821,http://okanoyama.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/12 16:16:52
168,POINT(137.132698479275 34.8561514782338),da040540,道の駅　筆柿の里・幸田,幸田町の魅力的な情報を発信し、都市と農村をつなぐ道の駅です。,道の駅　筆柿の里・幸田,0564-63-5171,http://www.fudegaki-sato.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/13 09:41:16
169,POINT(137.198338508606 35.1685111621841),da050501,愛知県緑化センター・昭和の森,造園風景から自然林まで、豊かで質の高い緑を気軽に体感できます。,愛知県緑化センター,0565-76-2106,https://www.aichi-park.or.jp/ryokka/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/27 09:30:53
170,POINT(137.295835423018 35.2321973765116),da050502,緑の公園,元気いっぱい！スポーツとウォーキングはいかがですか？,緑の公園,0565-65-2115,https://www.kankou-obara.toyota.aichi.jp/place/182/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2022/02/24 16:09:16
171,POINT(137.293739318848 35.238582833255),da050503,和紙のふるさと,小原工芸紙作品の鑑賞や、和紙で、「絵すき」「うちわ」「葉すき」などの制作体験実習ができます。,和紙のふるさと,0565-65-2953（工芸）、65-2151（展示）,http://washinofurusato.jp/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/27 09:35:12
172,POINT(137.313952445984 35.1297937409458),da050504,三州足助屋敷,山里の生活の知恵や技術の伝承を見ることができます。,三州足助屋敷,0565-62-1188,http://asukeyashiki.jp/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/27 09:36:13
173,POINT(137.3852455616 35.116349967172),da050505,鼎（かなえ）工房,昔なつかしい小学校で、木工等３種の体験を楽しむことができます。,鼎（かなえ）工房,0565-62-2693,http://www.asuke.aitai.ne.jp/~kanae-z/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/27 09:37:17
174,POINT(137.318499790262 35.1372849661347),da050506,中馬館,明治から昭和時代にかけた商業・金融関係の資料館です。,足助中馬館,0565-62-0878,https://www.city.toyota.aichi.jp/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2022/02/24 16:15:54
175,POINT(137.285279044726 35.1426766595836),da050507,足助みたち栗園 ,空気が澄んだ秋空のもと、栗拾いはいかがですか。,香嵐渓グリーンファーム三ッ足栗園,0565-62-1192,http://www.farm-mitachi.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2020/08/14 15:27:24
176,POINT(137.325325012207 35.1343695584853),da050509,城跡公園足助城,発掘調査に基づき整備された、全国でも初めての山城です。,足助城,0565-62-0770,http://www.city.toyota.aichi.jp/ ,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2022/11/25 11:22:32
177,POINT(137.396553754807 35.0378149343239),da050510,香恋の館,ハーブの香り、郷土の香り、懐かしい香りを楽しもう。,香恋の里・香恋の館,0565-90-4120,http://www.karennosato.com/yakata/index01.html,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2022/11/28 10:51:18
178,POINT(137.406976819038 35.2181277696546),da050511,旭高原元気村,空気が澄んだ爽やかな高原で、いろいろな体験をしてみてはいかがですか？,旭高原元気村,0565-68-2755,http://www.asahikougen.co.jp/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/27 09:40:45
179,POINT(137.503327131271 35.2143324114524),da050512,稲武どんぐり工房,古い農家を移築増築した建物で、囲炉裏を囲んで各種の体験ができます。,どんぐりの里いなぶ内どんぐり工房,0565-83-3200,http://www.inabu-kankou.com/inabuarticle/435,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2022/11/28 10:57:37
180,POINT(137.463351488113 35.1970626062926),da050513,木材需要促進センター「モッキー」,親子・グループで木工を体験できます。,木材需要促進センター「モッキー」,0565-83-3200,http://inabu.or.jp/kanko/mocky.htm,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2022/11/10 15:58:43
181,POINT(137.464971542358 35.1968521900833),da050514,稲武郷土資料館「ちゅ～ま」,江戸中期から明治初期の収蔵物がたくさん展示されています。,豊田市稲武郷土資料館「ちゅ～ま」,0565-82-3439,https://www.city.toyota.aichi.jp/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2022/03/28 16:14:01
182,POINT(137.507994174957 35.2145252514831),da050515,古橋懐古館,古橋家の旧酒蔵、味噌蔵、穀蔵等を改造して公開した、歴史民族資料館です。,古橋懐古館,0565-82-2100,http://furuhashikai.com/kaikokan_top/ ,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2022/11/28 11:04:58
183,POINT(137.087939689485 35.0928135577047),da050516,三好公園,1年中スポーツに親しむことができ、イベントも豊富な公園です。,みよし市公園緑地課（有料施設：スポーツ課）,0561-32-2111（スポーツ課：0561-34-3131）,https://www.city.aichi-miyoshi.lg.jp/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2022/11/10 16:05:39
184,POINT(137.076480388641 35.0825245047391),da050517,保田ケ池公園,子供から大人まで様々な遊び方ができる公園施設です。,みよし市公園緑地課,0561-32-2111,http://www.city.aichi-miyoshi.lg.jp/ ,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2022/11/28 11:09:02
185,POINT(137.154420018196 35.0843287080816),da050518,ＪＡあいち豊田各産直店,新鮮な豊田加茂の農林産物や加工品がたくさんありますよ！,あいち豊田農業協同組合,0565-31-2326（代表）,https://www.ja-aichitoyota.or.jp/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2022/11/28 11:10:51
187,POINT(137.231072187424 35.0557596653519),da050519,滝川ふれあい工房,コンニャク作りや特産ミネアサヒの五平餅作りを体験できます。,滝川ふれあい工房,0565-58-3771,http://www.toyota.or.jp/news2004/takigawa.htm,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/13 10:10:18
188,POINT(137.151609063148 35.0797983699785),da050520,七州城址(しちしゅうじょうし)公園＆豊田市美術館,七州城とは挙母城の別称です。公園の東側には美術館があります。,豊田市美術館,0565-34-6610,https://www.museum.toyota.aichi.jp/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/13 10:11:31
189,POINT(137.09064308794 35.0752638403375),da050524,緑と花のセンター「さんさんの郷」,自然とのふれあい、快適な環境の整った市民憩いの公園です。休日はもとより、平日も農業をする人や散歩する人が見受けられるストレス解消の場所となっています。秋には総合福祉フェスタが開かれ、一万人もの人が訪れる、人と物との交流場所となっています。　,さんさんの郷,0561-34-6111,https://www.city.aichi-miyoshi.lg.jp/midori/sansansisetuannai.html,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/13 10:12:08
190,POINT(137.555480003357 34.9969700561076),da060501,山びこの丘,新城市久老勢（旧鳳来町）にあります。“よく遊び、よく学ぶ自然の中の大きな教室”がキャッチフレーズです。,山びこの丘,0536-35-1191,http://www.sanyurin.jp/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2022/11/28 11:16:44
191,POINT(137.622964382172 35.0053498178115),da060502,愛知県民の森,新城市門谷にある豊かな森林と清流を背景に、自然とふれあえる施設です。,愛知県民の森,0536-32-1262, https://www.aichi-park.or.jp/kenmin/index.html,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2022/11/29 11:13:39
192,POINT(137.578788399696 34.9723179490703),da060503,鳳来寺山自然科学博物館,新城市門谷にあります。鳳来寺山の成り立ちとそこに生育する動物・植物などを展示しています。,新城市教育委員会  鳳来寺山自然科学博物館,0536-35-1001,https://www.city.shinshiro.lg.jp/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/27 09:51:09
193,POINT(137.420489788055 34.963174257855),da060504,つくで手作り村,新城市作手地区にあります。地区の主要産業である農林業を活かした、都市と山村との交流拠点です。,つくで手作り村,0536-37-2772,http://www.city.shinshiro.lg.jp/mokuteki/shisetu/michinoeki/tedukurimura.html ,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2022/11/28 11:26:33
194,POINT(137.44606706234 34.9981790912179),da060505,ＭＩＬＫ工房スコット,新城市作手田原にあります。チーズ作りなどの体験ができるほか、酪農家がつくるジェラートがあります。    ,ＭＩＬＫ工房スコット,0536-37-2787,http://www.tees.ne.jp/~milk-ice/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2022/11/11 09:35:00
196,POINT(137.605540752411 35.1994560523108),da060507,道の駅「つぐ高原グリーンパーク」,設楽町津具地区にあります。オートキャンプ場のあるアウトドアライフの楽園です。,道の駅つぐ高原グリーンパーク,0536-83-2344,http://www.green-park.net/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/27 09:53:59
